objectid,old file,filename,youtubeid,vimeoid,title,creator,date,date_is_approximate?,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
col003_72,col003_p72.jpg,col003_p68.jpg,,,Traveling through Wyoming,Willett Family,1921,,Top left: Image of a dam with homes behind.<br>Right: Four men standing in front of monument to Jim Bridger in Wyoming.<br>Bottom left: View of field and homes in the distance.,monuments;houses;men;dam;fields,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_73,col003_p73.jpg,col003_p69.jpg,,,Traveling through Utah and Illinois,Willett Family,1921,,Top left: Waterfall in Utah.<br>Right: Man standing in front of old freight train in Illinois.<br>Bottom left: Group of workers.,men;railroads;waterfalls;workers,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_74,col003_p74.jpg,col003_p70.jpg,,,Traveling through Idaho,Willett Family,1921,,"Top: Thousand Springs waterfall in Hagerman Valley, Idaho.<br>Bottom: man standing in front of storefront.",men;waterfalls;houses;storefronts;buildings,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_75,col003_p75.jpg,col003_p71.jpg,,,"Traveling through Illinois, Iowa and Idaho",Willett Family,1921,,"Top: Central States Fair and Exposition entrance, Illinois.<br>Bottom left: House in Meridian, Idaho.<br>Bottom right: College of Agriculture, Ames, Iowa. ",fairs;colleges;houses;buildings,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_76,col003_p76.jpg,col003_p72.jpg,,,Traveling through Idaho,Willett Family,1921,,Top left: Men and women stand in front of home.<br>Bottom right: Hazel Willet and Hazel Green on horseback.,horses;houses;families;women,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_77,col003_p77.jpg,col003_p73.jpg,,,Buffalo Bill's Home,Willett Family,1921,,Top left: Buffalo Bill's home.<br>Top right: Two women and a man stand in front of home.<br>Bottom left: Men and women in winter clothing.<br>Bottom right: Street scene - unknown location.,men;women;streets;automobiles;houses;buildings,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_78,col003_p78.jpg,col003_p74.jpg,,,Traveling through Utah,Willett Family,1921,,"Top left: Interior image of house.<br>Top right: Devil's Slide, Utah.<br>Bottom left: Image of pointed hill. Unknown location.",houses;monuments,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_79,col003_p79.jpg,col003_p75.jpg,,,Traveling through New York and Idaho ,Willett Family,1921,,"Top left: Image of a dam taken in Northern New York.<br>Top right: Gerald beside a Japanese Cherry tree in Washington, DC. April 1937.<br>Bottom left: Dam in American Falls, Idaho.<br>Bottom right: Teacher's College.",dams;colleges;rivers;men;bridges,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_80,col003_p80.jpg,col003_p76.jpg,,,Traveling through Iowa,Willett Family,1921,,"Willett family stands in front of auto bungalow in Coggan, Iowa.",families;men;women;auto bungalow,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_81,col003_p81.jpg,col003_p77.jpg,,,Traveling through Wyoming,Willett Family,1921,,Top: Automobile and auto bungalow travel through the Wyoming desert.<br>Bottom left: Women working in Grange booth. Automobiles and auto bungalow traveling through the Wyoming desert.,automobiles;auto bungalows;desert;grange;men,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_82,col003_p82.jpg,col003_p78.jpg,,,Traveling through Idaho,Willett Family,1921,,"Left: Fred Willett standing in front of home.<br>Top right: River view of Hagerman Valley, Idaho.<br>Bottom right: Large home - unknown location.",men;rivers;houses,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_83,col003_p83.jpg,col003_p79.jpg,,,Traveling through Wyoming,Willett Family,1921,,"Top left: Railroad tracks in Medicine Bow, Wyoming.<br>Top right: Herd of sheep.<br>Bottom: River with smokestack and buildings in background.",rivers;smokestacks;sheep;railroads,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_84,col003_p84.jpg,col003_p80.jpg,,,Traveling through Utah and Idaho,Willett Family,1921,,"Top left: American Falls, Idaho.<br>Bottom left: Wasatch Mountains, Utah.<br>Right: Railroad tracks with homes in background.",waterfalls;railroads;mountains;towns,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_85,col003_p85.jpg,col003_p81.jpg,,,Traveling through Wyoming and Nebraska,Willett Family,1921,,"Top left: View of Medicine Bow, Wyoming.<br>Bottom right: Green River, Nebraska.",mountains;rivers;towns,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_86,col003_p86.jpg,col003_p82.jpg,,,View of River and Mountains - Unknown location.,Willett Family,1921,,River and mountain view.,mountains;rivers,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
